(515, copy_max, Read) 
(515, input_desc, Read) 
(518, some_copied, Read) 
(523, infile, Read) 
(523, .str.26, Read) 
(533, .str.30, Read) 
(535, __stdoutp, Read) 
(561, argv, Read) 
(562, .str.18, Read) 
(570, close_stdout, Read) 
(575, argc, Read) 
(575, .str.19, Read) 
(575, main.long_options, Read) 
(575, argv, Read) 
(578, c, Read) 
(83, st, Read) 
(86, status, Read) 
(87, blocksize, Read) 
(87, .str, Read) 
(87, program_name, Read) 
(87, __stderrp, Read) 
(90, .str.1, Read) 
(93, program_name, Read) 
(94, .str.2, Read) 
(95, blocksize, Read) 
(95, st, Read) 
(96, __stdoutp, Read) 
(97, blocksize, Read) 
(100, .str.3, Read) 
(100, leading_zeros, Read) 
(101, power, Read) 
(102, power, Read) 
(108, blocksize, Read) 
(108, __stdoutp, Read) 
(109, .str.4, Read) 
(114, __stdoutp, Read) 
(627, .str.8, Read) 
(627, Version, Read) 
(627, .str.22, Read) 
(627, .str.21, Read) 
(627, .str.20, Read) 
(627, __stdoutp, Read) 
(627, .str.23, Read) 
(115, .str.5, Read) 
(115, __stdoutp, Read) 
(116, .str.6, Read) 
(116, __stdoutp, Read) 
(117, .str.7, Read) 
(633, __const.emit_ancillary_info.infomap, Read) 
(633, infomap, Read) 
(123, program_name, Read) 
(636, stat_buf, Read) 
(124, .str.8, Read) 
(637, .str.24, Read) 
(126, status, Read) 
(640, stat_buf, Read) 
(643, program, Read) 
(644, infomap, Read) 
(134, line_num_end, Read) 
(646, map_prog, Read) 
(646, program, Read) 
(647, map_prog, Read) 
(647, have_out_dev, Read) 
(137, endp, Read) 
(649, map_prog, Read) 
(649, stat_buf, Read) 
(650, map_prog, Read) 
(650, stat_buf, Read) 
(139, endp, Read) 
(141, line_num_start, Read) 
(141, endp, Read) 
(654, stat_buf, Read) 
(143, line_num_start, Read) 
(144, line_num_start, Read) 
(656, number, Read) 
(656, squeeze_blank, Read) 
(656, show_ends, Read) 
(657, .str.40, Read) 
(657, lc_messages, Read) 
(658, file_open_mode, Read) 
(147, line_num_start, Read) 
(147, line_num_print, Read) 
(148, line_num_print, Read) 
(663, .str.41, Read) 
(664, __stdoutp, Read) 
(664, .str.25, Read) 
(665, rpl_optind, Read) 
(669, .str.31, Read) 
(669, program, Read) 
(670, .str.44, Read) 
(670, .str.43, Read) 
(671, argc, Read) 
(671, url_program, Read) 
(671, argind, Read) 
(672, argind, Read) 
(672, argv, Read) 
(672, .str.45, Read) 
(673, node, Read) 
(673, program, Read) 
(674, infile, Read) 
(674, .str.25, Read) 
(675, reading_stdin, Read) 
(164, buf, Read) 
(164, bufsize, Read) 
(164, input_desc, Read) 
(165, n_read, Read) 
(167, infile, Read) 
(167, .str.26, Read) 
(679, file_open_mode, Read) 
(684, file_open_mode, Read) 
(684, infile, Read) 
(173, n_read, Read) 
(685, input_desc, Read) 
(687, infile, Read) 
(687, .str.26, Read) 
(178, buf, Read) 
(178, n_read, Read) 
(693, stat_buf, Read) 
(693, input_desc, Read) 
(695, infile, Read) 
(695, .str.26, Read) 
